Parametry
Precyzja: 10^-3
Tau: 1
Pokolenia: 100
;vbest;vbin;f(vbest)
1;-1.404;[0 0 1 0 1 0 0 1 1 0 0 0 1 0];1.1650041050758768
2;-1.402;[0 0 1 0 1 0 0 1 1 0 0 1 0 0];1.182785631889062
3;-1.402;[0 0 1 0 1 0 0 1 1 0 0 1 0 0];1.182785631889062
4;-1.402;[0 0 1 0 1 0 0 1 1 0 0 1 0 0];1.182785631889062
5;-1.308;[0 0 1 0 1 0 1 1 0 0 0 1 0 0];1.2746460076997221
6;-1.308;[0 0 1 0 1 0 1 1 0 0 0 1 0 0];1.2746460076997221
7;-1.308;[0 0 1 0 1 0 1 1 0 0 0 1 0 0];1.2746460076997221
8;-1.084;[0 0 1 0 1 1 1 0 1 0 1 0 1 0];1.300411174850322
9;-2.092;[0 0 0 1 1 1 1 0 1 0 0 0 1 0];1.5831226521065336
10;-2.094;[0 0 0 1 1 1 1 0 1 0 0 0 0 0];1.627175432181084
11;-2.094;[0 0 0 1 1 1 1 0 1 0 0 0 0 0];1.627175432181084
12;-2.094;[0 0 0 1 1 1 1 0 1 0 0 0 0 0];1.627175432181084
13;-2.094;[0 0 0 1 1 1 1 0 1 0 0 0 0 0];1.627175432181084
14;-2.103;[0 0 0 1 1 1 1 0 0 1 0 1 1 0];1.654048442616008
15;-2.103;[0 0 0 1 1 1 1 0 0 1 0 1 1 0];1.654048442616008
16;-2.101;[0 0 0 1 1 1 1 0 0 1 1 0 0 0];1.6727970048893828
17;-2.101;[0 0 0 1 1 1 1 0 0 1 1 0 0 0];1.6727970048893828
18;-2.101;[0 0 0 1 1 1 1 0 0 1 1 0 0 0];1.6727970048893828
19;-2.101;[0 0 0 1 1 1 1 0 0 1 1 0 0 0];1.6727970048893828
20;-2.101;[0 0 0 1 1 1 1 0 0 1 1 0 0 0];1.6727970048893828
21;-2.101;[0 0 0 1 1 1 1 0 0 1 1 0 0 0];1.6727970048893828
22;-1.098;[0 0 1 0 1 1 1 0 0 1 1 0 1 1];1.6979366047660047
23;-1.101;[0 0 1 0 1 1 1 0 0 1 1 0 0 0];1.6988288277997696
24;-1.101;[0 0 1 0 1 1 1 0 0 1 1 0 0 0];1.6988288277997696
25;-1.101;[0 0 1 0 1 1 1 0 0 1 1 0 0 0];1.6988288277997696
26;-1.101;[0 0 1 0 1 1 1 0 0 1 1 0 0 0];1.6988288277997696
27;-1.101;[0 0 1 0 1 1 1 0 0 1 1 0 0 0];1.6988288277997696
28;-1.101;[0 0 1 0 1 1 1 0 0 1 1 0 0 0];1.6988288277997696
29;-1.101;[0 0 1 0 1 1 1 0 0 1 1 0 0 0];1.6988288277997696
30;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
31;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
32;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
33;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
34;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
35;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
36;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
37;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
38;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
39;-1.1;[0 0 1 0 1 1 1 0 0 1 1 0 0 1];1.7020866240552917
40;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
41;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
42;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
43;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
44;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
45;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
46;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
47;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
48;10.9;[1 1 1 0 1 1 1 0 0 1 1 0 0 1];1.7958926279757403
49;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
50;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
51;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
52;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
53;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
54;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
55;10.999;[1 1 1 0 1 1 1 1 1 1 1 1 1 0];1.9960228398204862
